NTA	Average Total Savings	Total Jobs
Battery Park City-Lower Manhattan	469890.79666666663	9
Bushwick South	26140.455000000005	10
Carroll Gardens-Columbia Street-Red Hook	24337.390000000003	11
College Point	17159.372857142855	7
Crown Heights North	4036.298888888889	9
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill	59950.340000000004	10
East New York	48433.09333333333	9
East Williamsburg	13990.626363636366	11
Greenpoint	9753.649285714284	14
Hunters Point-Sunnyside-West Maspeth	23931.398933333337	75
Hunts Point	39246.016153846154	13
Manhattanville	2760.8888888888887	9
Maspeth	6658.283333333334	9
Mott Haven-Port Morris	17843.937857142857	14
Queensbridge-Ravenswood-Long Island City	61830.770625	16
Steinway	11227.155714285715	7
Sunset Park West	14316.976875000002	48
park-cemetery-etc-Brooklyn	14327.419333333331	15
