Company Name	company contact	company email	company phone	Address	City	State	Postcode	Industry	Industry descr	Company Type	Current fulltime	Job created	Job retain	Effective Date	Total Savings	Savings from beginning receiving benefits	Borough	Latitude	Longitude	Community Board	Council District	Census Tract	BIN	BBL	NTA
100 WALL INVESTMENTS	Jerry Branam		2122487160	96 Wall Street	New York	NY	10005	Landlord		LMEP	1238.0			01/05/2015	302959.4	1814542.62	New York	40.705052	-74.007199	101.0	1.0	7.0	1000875.0	1000380001.0	Battery Park City-Lower Manhattan
1-10 BUSH TERMINAL OWNER LP	Andrew Kimball	akimball@industrycity.com	3474178429	220 36th St, Suite 2A	Brooklyn	NY	11232	Landlord	Special Eligible Premises for eligible businesses	ECSP	25.0			02/03/2020	2159.67	6755.31	Brooklyn	40.656061	-74.007334	307.0	38.0	2.0	3398687.0	3006950020.0	Sunset Park West
120 BROADWAY ACQUISITIONS JV, LLC (LDMK)	Carl Letich	clettich@silvprop.com	2124064020	120 Broadway	New York	NY	10271	Commercial		LMEP	2699.0			06/30/2017	922407.32	3293055.08	New York	40.708546	-74.011041	101.0	1.0	7.0	1001026.0	1000477501.0	Battery Park City-Lower Manhattan
120 WALL STREET, LLC	Jason McCalla	jmccalla@silvprop.com	2125517391	120 Wall Street	New York	NY	10005	Commercial	Back Offices	LMEP	958.0			07/02/2015	368601.17	2090906.36	New York	40.70438	-74.006427	101.0	1.0	7.0	1000871.0	1000370001.0	Battery Park City-Lower Manhattan
139 ACA REALTY, INC.	Eitan Chandally	barbara@dial7.com	7187076123	43-23 35th Street	Long Island City	NY	11101	Commercial	Limousine Service	ECSP	125.0			04/07/2008	1637.29	129401.39	Queens	40.745706	-73.929565	402.0	26.0	179.0	4003160.0	4002220017.0	Hunters Point-Sunnyside-West Maspeth
14-10 123RD STREET LLC	Danica/Ivan Drazic	ddrazic@atjelectrical.com	7183210117	14-10 123rd Street	College Point	NY	11356	Commercial	Electrical Parts Mfg.	ECSP	35.0			03/04/2011	2534.0	28752.48	Queens	40.785144	-73.844833	407.0	19.0	929.0	4098344.0	4040850036.0	College Point
183 LORRIANE STREET LLC	Tom Sapienza	tsapienza@KLCNY.com	2128405588	183 Lorraine Street	Brooklyn	NY	11231	Wholesale/Warehouse/Distribution	Commercial Storage facility	ECSP	9.0			11/06/2015	31483.87	187637.74	Brooklyn	40.673106	-74.0023	306.0	38.0	53.0	3336622.0	3005720001.0	Carroll Gardens-Columbia Street-Red Hook
195 BROADWAY, LLC	Robert Riggs		2129203381	195 Broadway	NY	NY	10007	Commercial		LMEP				03/04/2008	93675.37	3481992.69	New York	40.710536	-74.009378	101.0	1.0	13.0	1001227.0	1000800001.0	Battery Park City-Lower Manhattan
2 RECTOR STREET (NY) LLC	Camille Giardina	Camellia.Giardina@am.jll.com	2126195920	2 Rector Street	New York	NY	10006	Landlord	Back Offices	LMEP	495.0			12/02/2019	46523.01	221193.9	New York	40.707808	-74.013053	101.0	1.0	13.0	1001031.0	1000510001.0	Battery Park City-Lower Manhattan
21ST CENTURY OPTICS, INC.	Ralph Woythaler	rwoythaler@21st centuryoptics.com	7183922310	47-00 33rd Street	Lond Island City	NY	11101	Manufacturing	Eye glasses	ECSP	130.0			01/07/2009	28291.04	288983.01	Queens	40.742386	-73.932148	402.0	26.0	199.0	4003447.0	4002520018.0	Hunters Point-Sunnyside-West Maspeth
4OVER4.COM	Anastasio Panagiotopolous	taso@4over4.com	7189322700	19-41 46th Street	Long Island City	NY	11105	Manufacturing	Printer	ECSP	14.0			04/09/2008	4922.25	184923.14	Queens	40.77494	-73.896804	401.0	22.0	12301.0	4441806.0	4007740017.0	Steinway
538-540 WEST 35 CORP	Richard Silver	tankman220@aol.com	2127366618	11-42 46th Road	Queens	NY	11101	Manufacturing	steel, wood & cement tanks	ECSP	16.0			06/07/2010	4853.46	56744.11	Queens	40.74551	-73.949497	402.0	26.0	7.0	4436616.0	4000560047.0	Hunters Point-Sunnyside-West Maspeth
55 WATER, LLC	Jermy Frenkel	info@MEQS.com	2127260700	51 Water Street	Brooklyn	NY	11201	Commercial	Management company	ECSP	5.0			08/04/2017	7438.51	10657.15	Brooklyn	40.703304	-73.992156	302.0	33.0	21.0	3000000.0	3000260050.0	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
72ANDSUNNY PARTNERS LLC	Mitchell Gendel	Rlegati@mdc-partners.com	2129931300	55 Water Street	Brooklyn	NY	11201	Commercial	Advertising	ECSP	70.0			07/06/2017	15473.37	30061.25	Brooklyn	40.703301	-73.992047	302.0	33.0	21.0	3000019.0	3000260050.0	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
A.K.S. INTERNATIONAL, INC	Tomislav nNgalo	tnogalo@aksinternational.com	332313	37-04 19th Avenue	Queens	NY	11105	Manufacturing	metal contracting & fabricator of metal products	ECSP	45.0			07/06/2015	3629.27	20691.63	Queens	40.779184	-73.900755	401.0	22.0	12301.0	4436970.0	4008120043.0	Steinway
